Species, DayOfYear, Time, Lat, Long, Alt, SolRad, PFD, Temp, CO2, RH, Wind, LAI, ConstTemp, sifSunlit, sifShaded,ql_sunlit, ql_shaded, kdf_sunlit, kdf_shaded, PhiPS2_sunlit, PhiPS2_shaded, fesc, ANet, AGross, VPD, LeafTemp, BoundaryL_Conductance, InternalCO2, Respiration, StomatalConduct, Transpiration,J,sunlitPFD,shadedPFD,sunlitLAI,shadedLAI,GammaValue(gamma_C3 or GammaStar_C4), Gamma_C4,Cs_stomatalConductance, ci, AjLeaf,AcLeaf,AvLeaf,ApLeaf,Azimuth, DayLength, Declination, FracPARDiffuse, FracPARDirect, NIR,NIRFraction, NIRTotal, PAR ,SolarNoon, Sunrise, Sunset, SinElevation, SolarElevation,PotSolarDiffuse, PotSolarTotal, PotSolarDirect, MeasuredSolarRad, PARFraction,PFD, PFDDiffuse, PFDDirect, PFDTotal, Zenith, PotParDirect,PotParDiffuse, PotNIRDirect,PotNIRDiffuse
maize,   196.31,     7.00,    41.16,   -96.47,   100.00,   339.90,   673.00,    22.49,   406.01,    89.30,     2.50,     3.50, 0,     0.72,     0.72,     0.69,     0.77,     9.00,     9.00,     0.81,     0.81,    1.12,    22.80,    24.60,     0.29,   23.10,     2.43,   249.67,     1.80,     0.07,     0.91,    35.14,   284.77,   115.96,     0.97,    2.53,   70.77,  110.56,  393.13,   249.67,     0.00,     0.00,     0.00,     0.00,    -1.65,    14.88,     0.38,     0.75,     0.25,  187.60,    0.56,  187.60,  146.30,    11.67,     4.23,    19.11,     0.48,     0.50,    85.17,   438.91,   353.74,   333.91,     0.44,  673.00,  505.09,  167.91,  673.00,     1.07,   198.13,     77.53,  251.32,  102.15
maize,   196.35,     8.00,    41.16,   -96.47,   100.00,   511.62,  1013.00,    24.03,   386.91,    82.40,     2.84,     3.50, 0,     1.20,     1.20,     0.63,     0.75,     9.00,     9.00,     0.81,     0.81,    0.95,    43.87,    45.80,     0.53,   24.31,     2.59,   218.16,     1.93,     0.14,     2.34,    65.42,   428.60,   158.41,     1.17,    2.33,   99.61,  142.24,  363.66,   218.16,     0.00,     0.00,     0.00,     0.00,    -1.47,    14.88,     0.38,     0.67,     0.33,  272.06,    0.55,  272.06,  220.22,    11.67,     4.23,    19.11,     0.64,     0.70,    91.14,   639.14,   548.00,   492.28,     0.45, 1013.00,  675.70,  337.30, 1013.00,     0.87,   291.13,     79.61,  357.30,  100.71
maize,   196.40,     9.00,    41.16,   -96.47,   100.00,   647.68,  1282.40,    25.82,   373.01,    76.60,     3.12,     3.50, 0,     1.60,     1.60,     0.59,     0.74,     9.00,     9.00,     0.81,     0.81,    0.92,    58.82,    60.89,     0.78,   25.63,     2.71,   197.72,     2.07,     0.18,     3.87,    86.99,   541.22,   185.16,     1.30,    2.20,  120.08,  165.39,  343.27,   197.72,     0.00,     0.00,     0.00,     0.00,    -1.26,    14.88,     0.38,     0.60,     0.40,  334.94,    0.55,  334.94,  278.78,    11.67,     4.23,    19.11,     0.78,     0.89,    94.44,   809.43,   714.99,   613.72,     0.45, 1282.40,  775.36,  507.04, 1282.40,     0.68,   369.64,     71.78,  446.48,   83.87
maize,   196.44,    10.00,    41.16,   -96.47,   100.00,   875.96,  1734.40,    26.82,   366.18,    75.00,     2.87,     3.50, 0,     1.90,     1.90,     0.48,     0.74,     9.00,     9.00,     0.81,     0.81,    0.92,    65.73,    67.93,     0.88,   26.79,     2.60,   189.48,     2.20,     0.21,     5.05,    97.04,   854.90,   182.16,     1.38,    2.12,  129.53,  176.92,  331.53,   189.48,     0.00,     0.00,     0.00,     0.00,    -0.96,    14.88,     0.38,     0.41,     0.59,  443.94,    0.54,  443.94,  377.04,    11.67,     4.23,    19.11,     0.88,     1.07,    96.27,   934.85,   838.58,   820.98,     0.46, 1734.40,  702.65, 1031.75, 1734.40,     0.50,   427.27,     60.60,  511.91,   62.51
maize,   196.48,    11.00,    41.16,   -96.47,   100.00,   957.17,  1895.20,    27.69,   359.51,    69.50,     2.43,     3.50, 0,     1.80,     1.80,     0.45,     0.74,     9.00,     9.00,     0.81,     0.81,    0.94,    59.21,    61.51,     1.13,   27.60,     2.39,   178.20,     2.30,     0.18,     5.64,    87.86,   962.29,   174.68,     1.41,    2.09,  120.61,  168.88,  325.59,   178.20,     0.00,     0.00,     0.00,     0.00,    -0.46,    14.88,     0.38,     0.34,     0.66,  479.53,    0.54,  479.53,  412.00,    11.67,     4.23,    19.11,     0.93,     1.20,    97.15,  1005.38,   908.24,   891.53,     0.46, 1895.20,  643.82, 1251.38, 1895.20,     0.37,   459.62,     52.33,  548.66,   47.20
maize,   196.52,    12.00,    41.16,   -96.47,   100.00,   921.67,  1824.90,    28.92,   358.91,    63.00,     2.70,     3.50, 0,     2.19,     2.19,     0.48,     0.74,     9.00,     9.00,     0.81,     0.81,    0.97,    70.83,    73.17,     1.47,   27.87,     2.52,   165.42,     2.33,     0.21,     7.03,   104.52,   881.73,   187.32,     1.42,    2.08,  136.52,  185.85,  320.41,   165.42,     0.00,     0.00,     0.00,     0.00,     0.24,    14.88,     0.38,     0.39,     0.61,  460.96,    0.54,  460.96,  396.72,    11.67,     4.23,    19.11,     0.94,     1.22,    97.26,  1015.60,   918.33,   857.68,     0.46, 1824.90,  716.30, 1108.60, 1824.90,     0.35,   464.30,     51.02,  553.98,   44.78
maize,   196.56,    13.00,    41.16,   -96.47,   100.00,   869.70,  1722.00,    29.29,   359.01,    61.00,     2.51,     3.50, 0,     2.18,     2.18,     0.50,     0.74,     9.00,     9.00,     0.81,     0.81,    0.98,    71.00,    73.34,     1.59,   27.97,     2.43,   161.68,     2.34,     0.21,     7.17,   104.77,   819.61,   189.43,     1.39,    2.11,  136.74,  186.23,  318.99,   161.68,     0.00,     0.00,     0.00,     0.00,     0.82,    14.88,     0.38,     0.43,     0.57,  438.62,    0.54,  438.62,  374.35,    11.67,     4.23,    19.11,     0.90,     1.12,    96.65,   964.73,   868.07,   812.97,     0.46, 1722.00,  740.47,  981.53, 1722.00,     0.45,   440.98,     57.27,  527.48,   56.32
maize,   196.60,    14.00,    41.16,   -96.47,   100.00,   791.41,  1567.00,    28.84,   356.85,    60.80,     2.08,     3.50, 0,     1.99,     1.99,     0.52,     0.74,     9.00,     9.00,     0.81,     0.81,    1.02,    63.15,    65.46,     1.56,   27.65,     2.21,   160.84,     2.30,     0.18,     6.43,    93.51,   754.56,   182.88,     1.33,    2.17,  126.01,  174.57,  317.74,   160.84,     0.00,     0.00,     0.00,     0.00,     1.17,    14.88,     0.38,     0.46,     0.54,  406.18,    0.54,  406.18,  340.65,    11.67,     4.23,    19.11,     0.82,     0.95,    95.18,   856.65,   761.48,   746.83,     0.46, 1567.00,  728.28,  838.72, 1567.00,     0.62,   391.36,     68.10,  471.13,   76.71
maize,   196.65,    15.00,    41.16,   -96.47,   100.00,   755.10,  1495.10,    29.51,   357.52,    61.30,     1.88,     3.50, 0,     1.84,     1.84,     0.49,     0.75,     9.00,     9.00,     0.81,     0.81,    1.11,    54.09,    56.52,     1.60,   28.69,     2.10,   163.04,     2.44,     0.16,     6.07,    80.75,   847.48,   150.77,     1.22,    2.28,  113.60,  163.36,  322.29,   163.04,     0.00,     0.00,     0.00,     0.00,     1.41,    14.88,     0.38,     0.39,     0.61,  397.49,    0.55,  397.49,  325.02,    11.67,     4.23,    19.11,     0.69,     0.77,    92.45,   699.86,   607.42,   722.52,     0.45, 1495.10,  579.03,  916.07, 1495.10,     0.81,   319.17,     77.80,  389.16,   96.32
maize,   196.69,    16.00,    41.16,   -96.47,   100.00,   598.54,  1185.10,    28.92,   356.30,    62.20,     1.52,     3.50, 0,     1.33,     1.33,     0.51,     0.77,     9.00,     9.00,     0.81,     0.81,    1.19,    37.20,    39.64,     1.51,   28.76,     1.89,   167.02,     2.44,     0.10,     4.52,    56.63,   762.11,   124.69,     1.04,    2.46,   90.48,  139.47,  329.35,   167.02,     0.00,     0.00,     0.00,     0.00,     1.59,    14.88,     0.38,     0.41,     0.59,  325.85,    0.56,  325.85,  257.63,    11.67,     4.23,    19.11,     0.54,     0.57,    87.58,   507.57,   419.99,   583.48,     0.44, 1185.10,  491.55,  693.55, 1185.10,     1.00,   230.13,     79.67,  287.88,  103.96
