Species, DayOfYear, Time, Lat, Long, Alt, SolRad, PFD, Temp, CO2, RH, Wind, LAI, ConstTemp, sifSunlit, sifShaded,ql_sunlit, ql_shaded, kdf_sunlit, kdf_shaded, PhiPS2_sunlit, PhiPS2_shaded, fesc, ANet, AGross, VPD, LeafTemp, BoundaryL_Conductance, InternalCO2, Respiration, StomatalConduct, Transpiration,J,sunlitPFD,shadedPFD,sunlitLAI,shadedLAI,GammaValue(gamma_C3 or GammaStar_C4), Gamma_C4,Cs_stomatalConductance, ci, AjLeaf,AcLeaf,AvLeaf,ApLeaf,Azimuth, DayLength, Declination, FracPARDiffuse, FracPARDirect, NIR,NIRFraction, NIRTotal, PAR ,SolarNoon, Sunrise, Sunset, SinElevation, SolarElevation,PotSolarDiffuse, PotSolarTotal, PotSolarDirect, MeasuredSolarRad, PARFraction,PFD, PFDDiffuse, PFDDirect, PFDTotal, Zenith, PotParDirect,PotParDiffuse, PotNIRDirect,PotNIRDiffuse
maize,   196.31,     7.00,    41.16,   -96.47,   100.00,   339.90,   673.00,    22.49,   406.01,    89.30,     2.50,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    31.57,    37.76,     0.29,   22.94,     2.43,   271.53,     6.19,     0.38,     1.24,   189.15,   274.86,   293.94,     0.97,    2.53,  181.69,  101.12,  396.78,   271.53,    37.83,   141.18,     0.00,     0.00,    -1.65,    14.88,     0.38,     0.75,     0.25,  187.60,    0.56,  187.60,  146.30,    11.67,     4.23,    19.11,     0.48,     0.50,    85.17,   438.91,   353.74,   333.91,     0.44,  673.00,  505.09,  167.91,  673.00,     1.07,   198.13,     77.53,  251.32,  102.15
maize,   196.35,     8.00,    41.16,   -96.47,   100.00,   511.62,  1013.00,    24.03,   386.91,    82.40,     2.84,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    48.34,    55.06,     0.53,   24.41,     2.59,   239.91,     6.72,     0.54,     2.91,   276.15,   502.63,   368.67,     1.17,    2.33,  204.64,  113.54,  374.38,   239.91,    55.23,   158.50,     0.00,     0.00,    -1.47,    14.88,     0.38,     0.67,     0.33,  272.06,    0.55,  272.06,  220.22,    11.67,     4.23,    19.11,     0.64,     0.70,    91.14,   639.14,   548.00,   492.28,     0.45, 1013.00,  675.70,  337.30, 1013.00,     0.87,   291.13,     79.61,  357.30,  100.71
maize,   196.40,     9.00,    41.16,   -96.47,   100.00,   647.68,  1282.40,    25.82,   373.01,    76.60,     3.12,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    60.46,    67.81,     0.78,   26.03,     2.71,   218.15,     7.35,     0.65,     4.84,   340.35,   704.72,   406.96,     1.30,    2.20,  221.23,  123.26,  358.42,   218.15,    68.07,   180.06,     0.00,     0.00,    -1.26,    14.88,     0.38,     0.60,     0.40,  334.94,    0.55,  334.94,  278.78,    11.67,     4.23,    19.11,     0.78,     0.89,    94.44,   809.43,   714.99,   613.72,     0.45, 1282.40,  775.36,  507.04, 1282.40,     0.68,   369.64,     71.78,  446.48,   83.87
maize,   196.44,    10.00,    41.16,   -96.47,   100.00,   875.96,  1734.40,    26.82,   366.18,    75.00,     2.87,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    76.38,    84.15,     0.88,   27.18,     2.60,   209.55,     7.77,     0.83,     6.86,   424.09,  1177.30,   386.70,     1.38,    2.12,  243.02,  140.63,  345.19,   209.55,    84.82,   194.76,     0.00,     0.00,    -0.96,    14.88,     0.38,     0.41,     0.59,  443.94,    0.54,  443.94,  377.04,    11.67,     4.23,    19.11,     0.88,     1.07,    96.27,   934.85,   838.58,   820.98,     0.46, 1734.40,  702.65, 1031.75, 1734.40,     0.50,   427.27,     60.60,  511.91,   62.51
maize,   196.48,    11.00,    41.16,   -96.47,   100.00,   957.17,  1895.20,    27.69,   359.51,    69.50,     2.43,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    80.77,    88.84,     1.13,   27.84,     2.39,   196.34,     8.07,     0.85,     8.51,   448.23,  1360.00,   364.51,     1.41,    2.09,  249.03,  146.16,  334.90,   196.34,    89.65,   205.73,     0.00,     0.00,    -0.46,    14.88,     0.38,     0.34,     0.66,  479.53,    0.54,  479.53,  412.00,    11.67,     4.23,    19.11,     0.93,     1.20,    97.15,  1005.38,   908.24,   891.53,     0.46, 1895.20,  643.82, 1251.38, 1895.20,     0.37,   459.62,     52.33,  548.66,   47.20
maize,   196.52,    12.00,    41.16,   -96.47,   100.00,   921.67,  1824.90,    28.92,   358.91,    63.00,     2.70,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    80.19,    88.69,     1.47,   28.62,     2.52,   182.71,     8.50,     0.77,     9.72,   446.34,  1250.48,   389.97,     1.42,    2.08,  248.24,  145.20,  336.40,   182.71,    89.27,   221.22,     0.00,     0.00,     0.24,    14.88,     0.38,     0.39,     0.61,  460.96,    0.54,  460.96,  396.72,    11.67,     4.23,    19.11,     0.94,     1.22,    97.26,  1015.60,   918.33,   857.68,     0.46, 1824.90,  716.30, 1108.60, 1824.90,     0.35,   464.30,     51.02,  553.98,   44.78
maize,   196.56,    13.00,    41.16,   -96.47,   100.00,   869.70,  1722.00,    29.29,   359.01,    61.00,     2.51,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    77.26,    85.88,     1.59,   28.83,     2.43,   178.59,     8.62,     0.73,     9.72,   431.76,  1141.65,   399.15,     1.39,    2.11,  244.23,  143.15,  336.62,   178.59,    86.35,   225.91,     0.00,     0.00,     0.82,    14.88,     0.38,     0.43,     0.57,  438.62,    0.54,  438.62,  374.35,    11.67,     4.23,    19.11,     0.90,     1.12,    96.65,   964.73,   868.07,   812.97,     0.46, 1722.00,  740.47,  981.53, 1722.00,     0.45,   440.98,     57.27,  527.48,   56.32
maize,   196.60,    14.00,    41.16,   -96.47,   100.00,   791.41,  1567.00,    28.84,   356.85,    60.80,     2.08,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    71.66,    80.08,     1.56,   28.37,     2.21,   178.18,     8.42,     0.68,     8.90,   402.39,  1005.15,   396.47,     1.33,    2.17,  236.56,  139.16,  333.65,   178.18,    80.48,   218.36,     0.00,     0.00,     1.17,    14.88,     0.38,     0.46,     0.54,  406.18,    0.54,  406.18,  340.65,    11.67,     4.23,    19.11,     0.82,     0.95,    95.18,   856.65,   761.48,   746.83,     0.46, 1567.00,  728.28,  838.72, 1567.00,     0.62,   391.36,     68.10,  471.13,   76.71
maize,   196.65,    15.00,    41.16,   -96.47,   100.00,   755.10,  1495.10,    29.51,   357.52,    61.30,     1.88,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    67.67,    76.40,     1.60,   29.00,     2.10,   185.05,     8.73,     0.66,     8.67,   384.13,  1036.51,   343.29,     1.22,    2.28,  231.11,  144.77,  331.05,   185.05,    76.83,   229.75,     0.00,     0.00,     1.41,    14.88,     0.38,     0.39,     0.61,  397.49,    0.55,  397.49,  325.02,    11.67,     4.23,    19.11,     0.69,     0.77,    92.45,   699.86,   607.42,   722.52,     0.45, 1495.10,  579.03,  916.07, 1495.10,     0.81,   319.17,     77.80,  389.16,   96.32
maize,   196.69,    16.00,    41.16,   -96.47,   100.00,   598.54,  1185.10,    28.92,   356.30,    62.20,     1.52,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    54.72,    63.20,     1.51,   28.44,     1.89,   193.69,     8.48,     0.56,     6.88,   317.58,   795.98,   306.18,     1.04,    2.46,  213.38,  139.71,  328.96,   193.69,    63.52,   220.74,     0.00,     0.00,     1.59,    14.88,     0.38,     0.41,     0.59,  325.85,    0.56,  325.85,  257.63,    11.67,     4.23,    19.11,     0.54,     0.57,    87.58,   507.57,   419.99,   583.48,     0.44, 1185.10,  491.55,  693.55, 1185.10,     1.00,   230.13,     79.67,  287.88,  103.96
