Species, DayOfYear, Time, Lat, Long, Alt, SolRad, PFD, Temp, CO2, RH, Wind, LAI, ConstTemp, sifSunlit, sifShaded,ql_sunlit, ql_shaded, kdf_sunlit, kdf_shaded, PhiPS2_sunlit, PhiPS2_shaded, fesc, ANet, AGross, VPD, LeafTemp, BoundaryL_Conductance, InternalCO2, Respiration, StomatalConduct, Transpiration,J,sunlitPFD,shadedPFD,sunlitLAI,shadedLAI,GammaValue(gamma_C3 or GammaStar_C4), Gamma_C4,Cs_stomatalConductance, ci, AjLeaf,AcLeaf,AvLeaf,ApLeaf,Azimuth, DayLength, Declination, FracPARDiffuse, FracPARDirect, NIR,NIRFraction, NIRTotal, PAR ,SolarNoon, Sunrise, Sunset, SinElevation, SolarElevation,PotSolarDiffuse, PotSolarTotal, PotSolarDirect, MeasuredSolarRad, PARFraction,PFD, PFDDiffuse, PFDDirect, PFDTotal, Zenith, PotParDirect,PotParDiffuse, PotNIRDirect,PotNIRDiffuse
soybean,   189.31,     7.00,    41.18,   -96.44,   100.00,   379.49,   751.40,    20.51,   395.91,    78.80,     3.49,     2.48, 0,     0.76,     0.76,     0.57,     0.65,    11.00,    11.00,     0.83,     0.83,    2.00,     9.05,     9.78,     0.51,   21.55,     3.65,   321.63,     0.73,     0.08,     1.29,    20.75,   503.79,   276.22,     0.89,    1.59,   30.82,    0.00,  392.51,   321.63,     0.00,     0.00,     0.00,     0.00,    -1.66,    15.02,     0.39,     0.71,     0.29,  208.90,    0.56,  208.90,  163.35,    11.65,     4.15,    19.16,     0.49,     0.52,    85.65,   451.62,   365.97,   372.25,     0.44,  751.40,  531.08,  220.32,  751.40,     1.06,   204.07,     78.05,  258.11,  102.67
soybean,   189.35,     8.00,    41.18,   -96.44,   100.00,   563.28,  1115.30,    22.70,   377.79,    72.90,     4.02,     2.49, 0,     1.24,     1.24,     0.51,     0.62,    11.00,    11.00,     0.83,     0.83,    1.18,    22.56,    23.41,     0.75,   23.27,     3.91,   295.13,     0.86,     0.19,     3.63,    52.16,   687.14,   362.93,     1.13,    1.37,   33.76,    0.00,  369.89,   295.13,     0.00,     0.00,     0.00,     0.00,    -1.49,    15.02,     0.39,     0.61,     0.39,  298.96,    0.55,  298.96,  242.46,    11.65,     4.15,    19.16,     0.65,     0.71,    91.40,   650.56,   559.16,   541.42,     0.45, 1115.30,  683.98,  431.32, 1115.30,     0.86,   296.40,     79.35,  363.30,  100.02
soybean,   189.40,     9.00,    41.18,   -96.44,   100.00,   743.59,  1472.30,    24.69,   367.05,    67.40,     3.77,     2.50, 0,     1.64,     1.64,     0.47,     0.61,    11.00,    11.00,     0.83,     0.83,    1.10,    28.65,    29.64,     1.01,   24.92,     3.79,   279.91,     0.99,     0.24,     5.45,    68.94,   842.71,   402.06,     1.30,    1.20,   36.74,    0.00,  356.70,   279.91,     0.00,     0.00,     0.00,     0.00,    -1.28,    15.02,     0.39,     0.50,     0.50,  383.93,    0.55,  383.93,  320.07,    11.65,     4.15,    19.16,     0.79,     0.91,    94.60,   819.33,   724.73,   703.99,     0.45, 1472.30,  737.47,  734.83, 1472.30,     0.67,   374.20,     71.06,  451.65,   82.45
soybean,   189.44,    10.00,    41.18,   -96.44,   100.00,   865.45,  1713.60,    26.06,   364.20,    66.40,     3.10,     2.51, 0,     1.88,     1.88,     0.45,     0.61,    11.00,    11.00,     0.83,     0.83,    1.06,    32.15,    33.25,     1.13,   26.05,     3.44,   275.54,     1.10,     0.27,     6.41,    79.23,   913.89,   405.44,     1.41,    1.10,   38.93,    0.00,  351.39,   275.54,     0.00,     0.00,     0.00,     0.00,    -0.97,    15.02,     0.39,     0.42,     0.58,  438.01,    0.54,  438.01,  372.52,    11.65,     4.15,    19.16,     0.88,     1.08,    96.38,   943.29,   846.91,   810.53,     0.46, 1713.60,  725.68,  987.92, 1713.60,     0.49,   431.14,     59.69,  516.31,   60.81
soybean,   189.48,    11.00,    41.18,   -96.44,   100.00,   965.30,  1911.30,    27.52,   356.96,    64.90,     3.39,     2.51, 0,     2.10,     2.10,     0.43,     0.62,    11.00,    11.00,     0.83,     0.83,    1.04,    34.96,    36.17,     1.29,   27.14,     3.59,   268.18,     1.21,     0.29,     7.43,    88.76,   973.81,   369.74,     1.47,    1.05,   41.09,    0.00,  343.64,   268.18,     0.00,     0.00,     0.00,     0.00,    -0.47,    15.02,     0.39,     0.33,     0.67,  483.02,    0.54,  483.02,  415.50,    11.65,     4.15,    19.16,     0.94,     1.22,    97.23,  1012.59,   915.36,   898.52,     0.46, 1911.30,  636.22, 1275.08, 1911.30,     0.36,   462.92,     51.41,  552.41,   45.50
soybean,   189.52,    12.00,    41.18,   -96.44,   100.00,   988.84,  1957.90,    28.63,   350.50,    63.70,     4.07,     2.52, 0,     2.14,     2.14,     0.43,     0.63,    11.00,    11.00,     0.83,     0.83,    1.08,    33.01,    34.33,     1.42,   28.16,     3.94,   262.82,     1.32,     0.27,     7.76,    86.57,   989.84,   352.24,     1.48,    1.04,   43.19,    0.00,  339.02,   262.82,     0.00,     0.00,     0.00,     0.00,     0.26,    15.02,     0.39,     0.30,     0.70,  494.04,    0.54,  494.04,  425.63,    11.65,     4.15,    19.16,     0.94,     1.24,    97.34,  1021.92,   924.58,   919.67,     0.46, 1957.90,  597.04, 1360.86, 1957.90,     0.33,   467.20,     50.19,  557.27,   43.27
soybean,   189.56,    13.00,    41.18,   -96.44,   100.00,   945.15,  1871.40,    29.13,   348.21,    60.80,     4.75,     2.53, 0,     2.31,     2.31,     0.43,     0.62,    11.00,    11.00,     0.83,     0.83,    1.12,    34.10,    35.46,     1.58,   28.45,     4.26,   258.17,     1.36,     0.27,     8.46,    90.43,   982.36,   361.19,     1.44,    1.09,   43.81,    0.00,  337.23,   258.17,     0.00,     0.00,     0.00,     0.00,     0.85,    15.02,     0.39,     0.33,     0.67,  476.22,    0.54,  476.22,  406.83,    11.65,     4.15,    19.16,     0.90,     1.13,    96.73,   970.57,   873.84,   883.05,     0.46, 1871.40,  624.25, 1247.15, 1871.40,     0.44,   443.66,     56.59,  530.53,   55.05
soybean,   189.60,    14.00,    41.18,   -96.44,   100.00,   831.67,  1646.70,    29.56,   352.82,    53.10,     4.65,     2.54, 0,     1.99,     1.99,     0.45,     0.62,    11.00,    11.00,     0.83,     0.83,    1.14,    28.61,    30.03,     1.94,   28.95,     4.21,   252.69,     1.42,     0.20,     8.08,    78.01,   926.72,   380.81,     1.34,    1.19,   44.88,    0.00,  343.51,   252.69,     0.00,     0.00,     0.00,     0.00,     1.20,    15.02,     0.39,     0.42,     0.58,  426.44,    0.54,  426.44,  357.98,    11.65,     4.15,    19.16,     0.82,     0.96,    95.26,   862.46,   767.20,   784.42,     0.46, 1646.70,  685.76,  960.94, 1646.70,     0.61,   394.03,     67.60,  474.16,   75.76
soybean,   189.65,    15.00,    41.18,   -96.44,   100.00,   706.52,  1398.90,    29.75,   353.97,    51.10,     4.62,     2.55, 0,     1.91,     1.91,     0.46,     0.62,    11.00,    11.00,     0.83,     0.83,    1.14,    28.51,    29.94,     2.04,   28.99,     4.20,   250.52,     1.43,     0.19,     8.10,    77.93,   872.78,   355.32,     1.19,    1.35,   44.98,    0.00,  344.66,   250.52,     0.00,     0.00,     0.00,     0.00,     1.43,    15.02,     0.39,     0.47,     0.53,  371.54,    0.55,  371.54,  304.11,    11.65,     4.15,    19.16,     0.70,     0.77,    92.57,   706.05,   613.48,   675.65,     0.45, 1398.90,  655.09,  743.81, 1398.90,     0.80,   322.02,     77.55,  392.40,   95.77
soybean,   189.69,    16.00,    41.18,   -96.44,   100.00,   536.01,  1061.30,    29.86,   357.19,    49.20,     4.24,     2.55, 0,     1.53,     1.53,     0.49,     0.64,    11.00,    11.00,     0.83,     0.83,    1.24,    21.97,    23.44,     2.14,   29.33,     4.02,   250.68,     1.47,     0.14,     6.56,    61.31,   755.69,   300.69,     0.98,    1.57,   45.73,    0.00,  349.70,   250.68,     0.00,     0.00,     0.00,     0.00,     1.61,    15.02,     0.39,     0.54,     0.46,  291.43,    0.56,  291.43,  230.72,    11.65,     4.15,    19.16,     0.54,     0.58,    87.79,   514.44,   426.65,   522.14,     0.44, 1061.30,  570.03,  491.27, 1061.30,     1.00,   233.33,     79.80,  291.52,  104.00
